,vehicle,miles_bin,origin_state,count,rpm mean,rpm median,rpm std,vehicle_rank
165,SPRINTER,0,SC,5,2.2135776348296283,2.195617433414044,0.47199863935376235,1
166,SPRINTER,0,TN,26,2.050040459439673,2.034880302119541,0.46128863054102964,1
167,SPRINTER,0,TX,34,2.758292457715891,2.565402668859991,0.768566642380922,1
168,SPRINTER,0,WI,13,2.6900373813482097,2.4774896265560167,0.9902507214900155,1
169,SPRINTER,0,WV,3,2.9264879415693614,2.7686455331412105,0.5015354118849922,1
170,SPRINTER,1,GA,7,1.5824582353369685,1.5807275803722505,0.2015992237964616,1
171,SPRINTER,1,GJ,4,2.2840475871312487,2.268602540834846,0.13557593008949906,1
172,SPRINTER,1,IL,5,1.959485288057195,1.8405098684210528,0.45752408709968345,1
173,SPRINTER,1,IN,12,2.032034659022887,1.9213607706035516,0.678313814308256,1
174,SPRINTER,1,KY,15,1.9387760073391438,1.7099253731343282,0.5796736823470676,1
175,SPRINTER,1,MI,30,1.8772480884555012,1.893675747029881,0.3673626684523892,1
176,SPRINTER,1,MN,17,1.9185259183387928,1.8637099494097809,0.25137586087622443,1
177,SPRINTER,1,MO,5,2.185209486637531,2.247427101200686,0.1996951391318081,1
178,SPRINTER,1,NC,16,1.7824419736142576,1.7157621470507516,0.3117876398970328,1
179,SPRINTER,1,NX,4,4.256173938703244,3.9632972444950956,0.7748573456445403,1
180,SPRINTER,1,OH,13,1.9294332729859915,1.5993982300884957,0.8530591425729924,1
181,SPRINTER,1,PA,4,1.614337515828249,1.568627450980392,0.091420129695714,1
182,SPRINTER,1,QA,7,2.106785571788593,2.158894645941278,0.12376324709468088,1
183,SPRINTER,1,TN,81,1.5982800881662513,1.4792899408284024,0.38107569710251293,1
184,SPRINTER,1,TX,17,2.0973648156670417,1.8698686371100164,0.6542385239427574,1
185,SPRINTER,1,VA,7,2.134568742213588,2.089695885509839,0.5257980727413532,1
186,SPRINTER,1,WI,7,2.0771282063097227,2.1185385878489327,0.34774025948731535,1
187,SPRINTER,2,AL,8,1.7201820858332852,1.711290842544115,0.29137085466125795,1
188,SPRINTER,2,CA,3,1.9671102880025906,1.8611662531017368,0.5281776296537714,1
189,SPRINTER,2,GA,9,1.7438378615086594,1.6906045340050375,0.25093219291579416,1
190,SPRINTER,2,IN,3,2.4858965767191887,2.343911719939117,0.4297352938060083,1
191,SPRINTER,2,KY,4,3.6240928882438315,3.8011611030478956,0.38646668578409954,1
192,SPRINTER,2,MI,32,1.949508704584349,1.8957640672174114,0.43560488606308806,1
193,SPRINTER,2,MO,4,1.692324826898533,1.7122127010285375,0.10169260875836236,1
194,SPRINTER,2,NC,5,2.2231919643964746,1.9175,0.6513495115741024,1
195,SPRINTER,2,NE,11,1.890028672913427,1.843594847775176,0.2722495721224049,1
196,SPRINTER,2,NH,3,1.4703721941452192,1.4628195937873358,0.2974079985805975,1
197,SPRINTER,2,NX,4,4.010011657827658,4.128666729044491,0.5767931437393058,1
198,SPRINTER,2,OH,9,1.83732627560318,1.8319244823386116,0.17560751476864017,1
199,SPRINTER,2,SC,16,1.6825325327106488,1.6237793575869213,0.3072858018648309,1
200,SPRINTER,2,TL,5,2.4512520149672206,2.1246458923512748,0.6202016596648626,1
201,SPRINTER,2,TN,6,1.744311306670004,1.64369634452538,0.4517406997836586,1
